UNITID,AGENCY,FIRENAME,STARTDATE,ACRES,CAUSE,AREA,COUNTY
WAOLP,Olympic NP,Paradise,2015-06-15,2798.0,Lightning,Port Angeles,Clallam County
WANES,Washington DNR,Gold Hill,2015-08-31,556.0,Lightning,Kettle Falls,Stevens County
WANCP,North Cascades NP,Thursday Creek,2015-08-10,566.0,Lightning,Darrington,Snohomish County
WANCP,North Cascades NP,No Name 15,2015-08-10,344.0,Lightning,Darrington,Snohomish County
WANES,Washington DNR,Twisp River,2015-08-19,11222.0,Undetermined,Granite Falls,Chelan County
WANES,Washington DNR,Marble Valley,2015-08-14,3082.0,Undetermined,Colville,Stevens County
WAOWF,Okan-Wen NF,Blankenship,2015-07-13,212.0,Undetermined,Darrington,Snohomish County
WACOF,Colville Forest,Hall Mountain,2015-08-17,39.0,Undetermined,Newport,Pend Oreille County
WANES,Washington DNR,Onata Creek,2015-08-17,547.0,Lightning,Newport,Pend Oreille County
WAOWF,Okan-Wen NF,First Creek,2015-08-14,7491.0,Lightning,Granite Falls,Chelan County
WAYAA,BIA - Yakima,Cougar Creek,2015-08-10,53514.0,Lightning,White Salmon,Klickitat County
WAOWF,Okan-Wen NF,Wolverine,2015-06-29,65550.0,Lightning,Granite Falls,Chelan County
WANES,Washington DNR,Carpenter Road,2015-08-14,64043.0,Lightning,Davenport,Lincoln County
WASPD,Spokane BLM,Reach,2015-08-14,89093.0,Undetermined,Chelan,Chelan County
