UNITID,AGENCY,FIRENAME,STARTDATE,ACRES,CAUSE
WANES,WA DNR - NE REGION,GREEN LAKE,2008-07-31,1350.32718303,STRUCTURE FIRE
WAMCR,MID COLUMBIA NWR,INCIDENT 262,2008-07-27,3142.16921166,UNKNOWN
WAOWF,OKAN-WEN NF,JACK CREEK,2008-08-10,1057.71002699,LIGHTNING
WANES,WA DNR - NE REGION,JACKASS BUTTE (RATTLESNAKE POINT COMPLEX),2008-07-01,1765.70079189,LIGHTNING
WANES,WA DNR - NE REGION,RATTLESNAKE POINT COMPLEX,2008-07-01,752.53378316,UNKNOWN
WAWFS,WA FIRE SERVICE,ROCK LAKE,2008-08-18,2287.50288034,UNKNOWN
WAWFS,WA FIRE SERVICE,SEEP LAKES,2008-06-29,1901.06872278,UNKNOWN
WANES,WA DNR - NE REGION,SPOKANE VALLEY,2008-07-10,1005.79276005,UNKNOWN
WANES,WA DNR - NE REGION,SWANSON LAKE,2008-08-18,18038.73104031,UNKNOWN
WACOA,COLVILLE AGENCY,WILMONT,2008-07-13,148.81138230000002,LIGHTNING
WAYAA,BIA - YAKIMA,RANSIER ROAD,2009-06-29,354.17699465,UNKNOWN
WASES,WA DNR - SE REGION,FORREST,2009-07-11,255.38194915,UNKNOWN
WAHNC,HANFORD,ENW,2009-07-17,3.22583479,UNKNOWN
WACOA,COLVILLE AGENCY,FISH HATCHERY,2009-07-23,237.13494544,LIGHTNING
WACOA,COLVILLE AGENCY,OWHI TREE,2009-07-23,10.45928908,LIGHTNING
WACOA,COLVILLE AGENCY,JOHNSON LAKE,2009-07-23,711.99459944,LIGHTNING
WAMSF,MT. BAKER-SNOQ NF,DEER 1,2009-07-30,0.53222827,UNKNOWN
WAWFS,WA FIRE SERVICE,UNION VALLEY,2009-07-29,524.69205564,LIGHTNING
WAGPF,GIFFORD PINCHOT NF,LANGILLE,2009-07-27,471.01319057,UNKNOWN
WAWFS,WA FIRE SERVICE,MILEPOST 31,2012-06-13,1127.69544198,UNKNOWN
WAWFS,WA FIRE SERVICE,AVERY,2009-08-13,264.60167397,UNKNOWN
WACOA,COLVILLE AGENCY,CAMERON LAKE,2013-08-07,131.1028321,LIGHTNING
WACOA,COLVILLE AGENCY,BUFFALO LAKE,2009-08-21,328.63973445,ARSON
WACOF,COLVILLE NF,SLEEPY,2001-08-01,1401.85056765,UNKNOWN
WAOWF,OKAN-WEN NF,DISCOVERY,2009-07-28,4120.2867889,UNKNOWN
WAMCR,MID COLUMBIA NWR,DRY CREEK COMPLEX,2009-08-21,48901.64865507,UNKNOWN
WASES,WA DNR - SE REGION,HIGH HILL,2009-08-20,98.61899503,UNKNOWN
WASES,WA DNR - SE REGION,SR-17,2009-08-20,897.49516605,UNKNOWN
WASES,WA DNR - SE REGION,B.5,2009-08-20,282.12277067,UNKNOWN
WASES,WA DNR - SE REGION,TRAIL,2009-07-05,63.30774201,CAMPFIRE
WASES,WA DNR - SE REGION,OAK CREEK,2009-07-15,150.41144852,UNKNOWN
WASES,WA DNR - SE REGION,NAHAHUM,2009-08-19,48.50436303,UNKNOWN
WASES,WA DNR - SE REGION,LAKE ENTIAT,2009-06-02,182.42525469999998,UNKNOWN
WASES,WA DNR - SE REGION,HALE STORM,2009-07-31,54.80694637,UNKNOWN
WANES,WA DNR - NE REGION,ODEN ROAD,2009-08-22,9607.49330354,LIGHTNING
WACOA,COLVILLE AGENCY,MILEPOST 38,2009-09-16,1910.88147461,UNKNOWN
WACOA,COLVILLE AGENCY,CONCRETE PLANT,2009-08-27,195.80526241,ARSON
WANCP,NORTH CASCADES NP,BRUSH CREEK,2009-08-02,391.44204795,LIGHTNING
WAOWF,OKAN-WEN NF,PRESTON-FOX,2009-10-04,1215.98778453,DEBRIS BURN
WAOWF,OKAN-WEN NF,TWIN PEAKS,2009-09-03,666.36478804,UNKNOWN
